title,url,status,property_type,price,address,city,state,bedrooms,bathrooms,size_m2,image_url
Location d'une maison S3 pour habitation,https://www.mubawab.tn/fr/a/8285483/location-d-une-maison-s3-pour-habitation,À louer,Appartement,600 TND,Nouvelle Medina,Nouvelle Medina,Nouvelle Medina,3,1,100,
Triplex à la soukra chotrana 3,https://www.mubawab.tn/fr/a/8280542/triplex-%C3%A0-la-soukra-chotrana-3,À louer,Autre,2 800 TND,Chotrana 3,La Soukra,La Soukra,4,4,250,
"Villa rénovée S4, piscine – Jinen Hammamet",https://www.mubawab.tn/fr/a/8278313/villa-r%C3%A9nov%C3%A9e-s4-piscine-%E2%80%93-jinen-hammamet,À louer,Villa,5 000 TND,Hammamet Sud,Hammamet,Hammamet,4,3,240,
A LOUER – S2 110 m² – Ain Zaghouan,https://www.mubawab.tn/fr/a/8204262/a-louer-%E2%80%93-s2-110-m%C2%B2-%E2%80%93-ain-zaghouan,À louer,Appartement,1 450 TND,Ain Zaghouan Nord,La Marsa,La Marsa,2,2,110,
A louer un s2 au rez de chaussée à la Marsa,https://www.mubawab.tn/fr/a/8284206/a-louer-un-s2-au-rez-de-chauss%C3%A9e-%C3%A0-la-marsa,À louer,Appartement,3 800 TND,La Marsa,La Marsa,La Marsa,3,1,Non spécifié,
A louer H2 haut standing au Centre Urbain Nord,https://www.mubawab.tn/fr/a/8289138/a-louer-h2-haut-standing-au-centre-urbain-nord,À louer,Autre,2 200 TND,Centre Urbain Nord,Cité El Khadra,Cité El Khadra,0,2,77,
Ennasr 2 à louer spacieux Triplex S4,https://www.mubawab.tn/fr/a/8138988/ennasr-2-%C3%A0-louer-spacieux-triplex-s4,À louer,Autre,À consulter,Cité Ennasr 2,Ariana Ville,Ariana Ville,4,2,210,
Immeuble en open space haut standing ZA Kheireddine,https://www.mubawab.tn/fr/p/4482/immeuble-en-open-space-haut-standing-za-kheireddine,À louer,Autre, TND,Le Kram,Le Kram,Le Kram,0,0,Non spécifié,
A louer au RDC un open space de 867m²,https://www.mubawab.tn/fr/pa/8219061/a-louer-au-rdc-un-open-space-de-867m%C2%B2,À louer,Autre,16 000 TND,Le Kram,Le Kram,Le Kram,0,5,867,
Location villa a carthage hannibal vue mer,https://www.mubawab.tn/fr/a/8221438/location-villa-a-carthage-hannibal-vue-mer,À louer,Villa,5 000 TND,Carthage,Carthage,Carthage,4,3,350,
Location villa AVEC un grand jardin a mutuelleville,https://www.mubawab.tn/fr/a/8162823/location-villa-avec-un-grand-jardin-a-mutuelleville,À louer,Villa,4 000 TND,Mutuelle Ville,El Menzah,El Menzah,4,2,500,
Location des bureaux neuf a el menzah 1,https://www.mubawab.tn/fr/a/8246419/location-des-bureaux-neuf-a-el-menzah-1,À louer,Bureau,1 300 TND,El Menzah 1,El Menzah,El Menzah,0,1,120,
Location étage de villa neuf a el menzah 1,https://www.mubawab.tn/fr/a/8271876/location-%C3%A9tage-de-villa-neuf-a-el-menzah-1,À louer,Villa,2 500 TND,El Menzah 1,El Menzah,El Menzah,3,4,200,
